"filename", "language", "Markdown", "JSON with Comments", "C", "CMake", "XML", "C++", "comment", "blank", "total"
"e:\Project\PP_Keys\platform\win32\include\message_loop.h", "C++", 0, 0, 0, 0, 0, 6, 0, 3, 9
"e:\Project\PP_Keys\platform\win32\include\tray.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Project\PP_Keys\platform\win32\include\win_util.h", "C++", 0, 0, 0, 0, 0, 1, 0, 0, 1
"e:\Project\PP_Keys\platform\win32\include\window.h", "C++", 0, 0, 0, 0, 0, 10, 0, 7, 17
"e:\Project\PP_Keys\platform\win32\message_loop.c", "C", 0, 0, 18, 0, 0, 0, 11, 2, 31
"e:\Project\PP_Keys\platform\win32\tray.c", "C", 0, 0, 0, 0, 0, 0, 1, 0, 1
"e:\Project\PP_Keys\platform\win32\win_util.c", "C", 0, 0, 0, 0, 0, 0, 1, 0, 1
"e:\Project\PP_Keys\platform\win32\window.c", "C", 0, 0, 87, 0, 0, 0, 50, 20, 157
"e:\Project\PP_Keys\resource\manifest.xml", "XML", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\third_party\占位.c", "C", 0, 0, 1, 0, 0, 0, 0, 0, 1
"e:\Project\PP_Keys\ui\CMakeLists.txt", "CMake", 0, 0, 0, 9, 0, 0, 0, 2, 11
"e:\Project\PP_Keys\ui\imgui\ui_imgui.cpp", "C++", 0, 0, 0, 0, 0, 0, 0, 1, 1
"e:\Project\PP_Keys\ui\include\ui.h", "C++", 0, 0, 0, 0, 0, 6, 0, 3, 9
"e:\Project\PP_Keys\ui\include\ui_capture.h", "C++", 0, 0, 0, 0, 0, 18, 0, 13, 31
"e:\Project\PP_Keys\ui\include\ui_win32.h", "C++", 0, 0, 0, 0, 0, 36, 0, 16, 52
"e:\Project\PP_Keys\ui\ui.c", "C", 0, 0, 7, 0, 0, 0, 15, 4, 26
"e:\Project\PP_Keys\ui\ui_capture.c", "C", 0, 0, 51, 0, 0, 0, 43, 13, 107
"e:\Project\PP_Keys\ui\win32\ui_win32.c", "C", 0, 0, 182, 0, 0, 0, 64, 39, 285
"Total", "-", 0, 8, 736, 66, 0, 178, 468, 298, 1754
